Designator,Value,Footprint,JLCPCB Part #,Description
"C1, C10",1uF,0402,C52923,Decoupling
"C2, C3",0.1uF,0402,C307331,Decoupling
"C4-C9, C11, C12, C17",0.1uF,0402,C307331,Decoupling
C13,10uF,0603,C96446,Bulk capacitor
C14,10uF,0402,C15525,Decoupling
"C15, C16",33pF,0402,C1562,Crystal load
C18,1nF,0402,C1523,Filter
C19,10nF,0402,C15195,Filter
C20,33nF,0402,C106862,Filter
"C21, C22",22pF,0402,C1555,Crystal load
C23,2.2nF,0402,C1531,Filter
C24,4.7pF,0402,C1569,RF matching
C25,1.5pF,0402,C1552,RF matching
C26,1.0pF,0402,C1550,RF matching
"D1, DRGB1",LED,0603,C2286,Status LED
D3,1N4148WS,SOD-323,C2128,Protection diode
J1,USB\_C\_Receptacle,SMD,C165948,USB-C connector
L1,2.7nH,0402,C77108,RF inductor
L2,8.2nH,0402,C76778,RF inductor
L3,3.9nH,0402,C76775,RF inductor
"R1, R2",5.1k,0402,C25905,USB pull-up
"R3, R4",27,0402,C25105,USB termination
"R5, R6",1k,0402,C11702,LED current limit
R7,10k,0402,C25744,Pull-up/pull-down
R8,22k,0402,C25768,Divider
R9,1M,0402,C26083,Pull-up
"R10, R11",220,0402,C25082,LED current limit
SW1,SW\_Push,SMD 4x3mm,C720477,Reset button
U2,RP2040,LQFN-56,C2940,Microcontroller
U3,W25Q128JVS,USON-8,C2843335,Flash memory
U4,nRF24L01P,QFN-20,C8791,Wireless transceiver
U5,AMS1117-3.3,SOT-89,C347256,LDO regulator
Y1,12MHz,SMD3225,C9002,Crystal
Y2,16MHz,SMD3225,C13738,Crystal
